fact_id,run_id,profile_id,profile_sha256,provider,requested_model,model_revision,harness_id,feature_name,feature_value,evidence_class,source_kind,source_id,source_sha256,reportable
feature_e20aa3a77b3758d112780181,runplan_4019ded04ee8c983,housing_deepseek_v4_flash_parasail_landlord_v23,cb012f2ab7d9f3004ad8c5c5beca6cc0c179bffbeae82edd1cc625b9f25dac9b,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_e377ce9489b8e7cf03e8,4019ded04ee8c98327d2d74ba87127a8e291f76e4967002d2eb22978449fa513,true
feature_6a1bbe14a50bfb2d03c392c0,runplan_4019ded04ee8c983,housing_deepseek_v4_flash_parasail_landlord_v23,cb012f2ab7d9f3004ad8c5c5beca6cc0c179bffbeae82edd1cc625b9f25dac9b,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_e377ce9489b8e7cf03e8,4019ded04ee8c98327d2d74ba87127a8e291f76e4967002d2eb22978449fa513,true
feature_14ddc58e2c60f67cdb4e7c06,runplan_4019ded04ee8c983,housing_deepseek_v4_flash_parasail_landlord_v23,cb012f2ab7d9f3004ad8c5c5beca6cc0c179bffbeae82edd1cc625b9f25dac9b,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_e377ce9489b8e7cf03e8,4019ded04ee8c98327d2d74ba87127a8e291f76e4967002d2eb22978449fa513,true
feature_998fbfe42076ebdb9e814bfd,runplan_4019ded04ee8c983,housing_deepseek_v4_flash_parasail_landlord_v23,cb012f2ab7d9f3004ad8c5c5beca6cc0c179bffbeae82edd1cc625b9f25dac9b,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_e377ce9489b8e7cf03e8,4019ded04ee8c98327d2d74ba87127a8e291f76e4967002d2eb22978449fa513,true
feature_a96a4b842585789f4e56fe46,runplan_4019ded04ee8c983,housing_deepseek_v4_flash_parasail_landlord_v23,cb012f2ab7d9f3004ad8c5c5beca6cc0c179bffbeae82edd1cc625b9f25dac9b,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_e377ce9489b8e7cf03e8,4019ded04ee8c98327d2d74ba87127a8e291f76e4967002d2eb22978449fa513,true
feature_f646be0a17cc6b4c1cc6bcbf,runplan_4019ded04ee8c983,housing_deepseek_v4_flash_parasail_landlord_v23,cb012f2ab7d9f3004ad8c5c5beca6cc0c179bffbeae82edd1cc625b9f25dac9b,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_e377ce9489b8e7cf03e8,4019ded04ee8c98327d2d74ba87127a8e291f76e4967002d2eb22978449fa513,true
feature_50cb67747fa43e7a2494206c,runplan_4019ded04ee8c983,housing_deepseek_v4_flash_parasail_landlord_v23,cb012f2ab7d9f3004ad8c5c5beca6cc0c179bffbeae82edd1cc625b9f25dac9b,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_e377ce9489b8e7cf03e8,4019ded04ee8c98327d2d74ba87127a8e291f76e4967002d2eb22978449fa513,true
feature_81740582ad7997aac8643ffb,runplan_4019ded04ee8c983,housing_deepseek_v4_flash_parasail_tenant_v23,d2446a43a2254fc4632d51a0bb2a283939d7830bd5015ff3649d017ceae835ba,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_f3b2dd18e8c26cabcdb1,4019ded04ee8c98327d2d74ba87127a8e291f76e4967002d2eb22978449fa513,true
feature_78c791c2f9552e0433984d63,runplan_4019ded04ee8c983,housing_deepseek_v4_flash_parasail_tenant_v23,d2446a43a2254fc4632d51a0bb2a283939d7830bd5015ff3649d017ceae835ba,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_f3b2dd18e8c26cabcdb1,4019ded04ee8c98327d2d74ba87127a8e291f76e4967002d2eb22978449fa513,true
feature_f2a31d13ca45daf526cd5a37,runplan_4019ded04ee8c983,housing_deepseek_v4_flash_parasail_tenant_v23,d2446a43a2254fc4632d51a0bb2a283939d7830bd5015ff3649d017ceae835ba,openrouter,deepseek/deepseek-v4-flash-0731,deepseek/deepseek-v4-flash-20260731,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_f3b2dd18e8c26cabcdb1,4019ded04ee8c98327d2d74ba87127a8e291f76e4967002d2eb22978449fa513,true
