fact_id,run_id,profile_id,profile_sha256,provider,requested_model,model_revision,harness_id,feature_name,feature_value,evidence_class,source_kind,source_id,source_sha256,reportable
feature_e2da1ea300dcf479ff62c3e8,runplan_05aeb73b9728f3ce,housing_glm_53_flash_parasail_landlord_v19,59152e87dfd155d87db7d17c85548fa8f757c2739894a38609b8a69ff7adda20,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_6d51814623fa7d184d08,05aeb73b9728f3cef161796d5b890277acf8b66e3f028b982d712314d7ed6ea0,true
feature_00ea1bb6441ff097d0a761f4,runplan_05aeb73b9728f3ce,housing_glm_53_flash_parasail_landlord_v19,59152e87dfd155d87db7d17c85548fa8f757c2739894a38609b8a69ff7adda20,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_6d51814623fa7d184d08,05aeb73b9728f3cef161796d5b890277acf8b66e3f028b982d712314d7ed6ea0,true
feature_c29a343b84016e874ddf2c84,runplan_05aeb73b9728f3ce,housing_glm_53_flash_parasail_landlord_v19,59152e87dfd155d87db7d17c85548fa8f757c2739894a38609b8a69ff7adda20,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_6d51814623fa7d184d08,05aeb73b9728f3cef161796d5b890277acf8b66e3f028b982d712314d7ed6ea0,true
feature_227270b0cd959a5355f604a6,runplan_05aeb73b9728f3ce,housing_glm_53_flash_parasail_landlord_v19,59152e87dfd155d87db7d17c85548fa8f757c2739894a38609b8a69ff7adda20,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_6d51814623fa7d184d08,05aeb73b9728f3cef161796d5b890277acf8b66e3f028b982d712314d7ed6ea0,true
feature_8d14120151066d6a2d1701c7,runplan_05aeb73b9728f3ce,housing_glm_53_flash_parasail_landlord_v19,59152e87dfd155d87db7d17c85548fa8f757c2739894a38609b8a69ff7adda20,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_6d51814623fa7d184d08,05aeb73b9728f3cef161796d5b890277acf8b66e3f028b982d712314d7ed6ea0,true
feature_0e5b9c10d23db2f657bb68a4,runplan_05aeb73b9728f3ce,housing_glm_53_flash_parasail_landlord_v19,59152e87dfd155d87db7d17c85548fa8f757c2739894a38609b8a69ff7adda20,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_6d51814623fa7d184d08,05aeb73b9728f3cef161796d5b890277acf8b66e3f028b982d712314d7ed6ea0,true
feature_031bcee839597f7e6cf87f5d,runplan_05aeb73b9728f3ce,housing_glm_53_flash_parasail_landlord_v19,59152e87dfd155d87db7d17c85548fa8f757c2739894a38609b8a69ff7adda20,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_6d51814623fa7d184d08,05aeb73b9728f3cef161796d5b890277acf8b66e3f028b982d712314d7ed6ea0,true
feature_359b091f1e5d7325ab3d85e3,runplan_05aeb73b9728f3ce,housing_glm_53_flash_parasail_tenant_v19,1dba7ae780101de4a024303a4c350da1f918be2ecf8bc985d693b8826930960d,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,cost_complete,true,admission_derived,profile_admission,admission_5570d6a8deae3c65dc03,05aeb73b9728f3cef161796d5b890277acf8b66e3f028b982d712314d7ed6ea0,true
feature_dcd3d7f57c10edd9f67f7b02,runplan_05aeb73b9728f3ce,housing_glm_53_flash_parasail_tenant_v19,1dba7ae780101de4a024303a4c350da1f918be2ecf8bc985d693b8826930960d,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,native_history_preserved,false,admission_derived,profile_admission,admission_5570d6a8deae3c65dc03,05aeb73b9728f3cef161796d5b890277acf8b66e3f028b982d712314d7ed6ea0,true
feature_2b4cbc06f61a48172d5354f8,runplan_05aeb73b9728f3ce,housing_glm_53_flash_parasail_tenant_v19,1dba7ae780101de4a024303a4c350da1f918be2ecf8bc985d693b8826930960d,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,policy_re_executable,false,admission_derived,profile_admission,admission_5570d6a8deae3c65dc03,05aeb73b9728f3cef161796d5b890277acf8b66e3f028b982d712314d7ed6ea0,true
feature_2afa05989fe6a14383f934a4,runplan_05aeb73b9728f3ce,housing_glm_53_flash_parasail_tenant_v19,1dba7ae780101de4a024303a4c350da1f918be2ecf8bc985d693b8826930960d,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,provider_calls_observed,true,admission_derived,profile_admission,admission_5570d6a8deae3c65dc03,05aeb73b9728f3cef161796d5b890277acf8b66e3f028b982d712314d7ed6ea0,true
feature_5192c600b493b605e1f0d517,runplan_05aeb73b9728f3ce,housing_glm_53_flash_parasail_tenant_v19,1dba7ae780101de4a024303a4c350da1f918be2ecf8bc985d693b8826930960d,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,seed_enforced,true,admission_derived,profile_admission,admission_5570d6a8deae3c65dc03,05aeb73b9728f3cef161796d5b890277acf8b66e3f028b982d712314d7ed6ea0,true
feature_c4bd58273795de728452ee93,runplan_05aeb73b9728f3ce,housing_glm_53_flash_parasail_tenant_v19,1dba7ae780101de4a024303a4c350da1f918be2ecf8bc985d693b8826930960d,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,state_restorable,false,admission_derived,profile_admission,admission_5570d6a8deae3c65dc03,05aeb73b9728f3cef161796d5b890277acf8b66e3f028b982d712314d7ed6ea0,true
feature_c7bb518fe6be6a4bf303adae,runplan_05aeb73b9728f3ce,housing_glm_53_flash_parasail_tenant_v19,1dba7ae780101de4a024303a4c350da1f918be2ecf8bc985d693b8826930960d,openrouter,z-ai/glm-5.3-flash,z-ai/glm-5.3-flash-20260826,minimal_chat,tool_calls_observed,false,admission_derived,profile_admission,admission_5570d6a8deae3c65dc03,05aeb73b9728f3cef161796d5b890277acf8b66e3f028b982d712314d7ed6ea0,true
